Overall rank,country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
85,Morocco,5.254,0.779,0.797,0.669,0.46,0.026000000000000002,0.07400000000000001,12,6,10,0.5,Africa
123,Mozambique,4.417,0.198,0.902,0.17300000000000001,0.531,0.20600000000000002,0.158,47,18,5,1.3,Africa
130,Myanmar,4.308,0.682,1.1740000000000002,0.429,0.58,0.598,0.17800000000000002,5,1,0,0.1,Asia
119,Namibia,4.441,0.8740000000000001,1.281,0.365,0.519,0.051,0.064,376,3,1,6.8,Africa
101,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078,5,6,0,0.2,Asia
6,Netherlands,7.441,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295,251,88,190,9.4,Europe
8,New Zealand,7.324,1.268,1.601,0.8759999999999999,0.669,0.365,0.389,203,79,175,9.3,Oceania
41,Nicaragua,6.141,0.6679999999999999,1.319,0.7,0.527,0.20800000000000002,0.128,78,118,1,3.5,North America
134,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099,3,2,1,0.1,Africa
91,Nigeria,5.155,0.6890000000000001,1.172,0.048,0.462,0.201,0.032,42,5,2,9.1,Africa
2,Norway,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,0.34,169,71,129,6.7,Europe
75,Pakistan,5.472,0.652,0.81,0.424,0.33399999999999996,0.21600000000000003,0.113,0,0,0,0.0,Asia
27,Panama,6.43,1.112,1.4380000000000002,0.759,0.597,0.125,0.063,285,104,18,7.2,North America
64,Paraguay,5.681,0.835,1.5219999999999998,0.615,0.541,0.162,0.07400000000000001,213,117,74,7.3,South America
65,Peru,5.662999999999999,0.934,1.249,0.674,0.53,0.092,0.034,163,160,21,6.1,South America
71,Philippines,5.524,0.775,1.3119999999999998,0.513,0.643,0.12,0.105,71,186,1,4.6,Asia
42,Poland,6.122999999999999,1.176,1.4480000000000002,0.7809999999999999,0.546,0.10800000000000001,0.064,343,215,56,10.9,Europe
